#name, A, B, C, D, E
NODE_0000000, 0.6680272229823274, 0.019643274542585097, 0.010193582792236356, 0.008472765050618503, 0.2936631546322326
England_ALDP-2FE62BA_2021, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_0000001, 0.6353439238262665, 0.01035321925556751, 0.007697124183367917, 0.005670545596529999, 0.34093518713826804
England_ALDP-308716F_2021, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0
England_NORW-310A900_2021, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000002, 0.2456627573294673, 0.08286058245920389, 0.025884771304713797, 0.02747382097913669, 0.6181180679274784
NODE_0000003, 0.08919409981332119, 0.2309546528279565, 0.017035465515924313, 0.014056821890921516, 0.6487589599518765
England_HSLL-3411A10_2022, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0
England_NORW-310CD87_2021, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000004, 0.10483998987813262, 0.038335506046335927, 0.048355041384395676, 0.06803508760773254, 0.7404343750834032
England_NORW-310B1DB_2021, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000005, 0.07381167852829845, 0.034679655418580174, 0.1671981169639655, 0.3018485710199215, 0.4224619780692343
NODE_0000006, 0.008498536006237437, 0.0048713268560256, 0.012512648712832442, 0.9456534185621193, 0.02846406986278524
England_MILK-3128D5C_2022, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
England_MILK-307D409_2021, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_0000007, 0.0579624157376525, 0.03087316828391605, 0.43019381830218334, 0.11646488769294182, 0.3645057099833063
England_LOND-YYBNE1Q_2022, 0.0, 0.0, 1.0, 0.0, 0.0
England_NORW-3131603_2021, 0.0, 0.0, 0.0, 0.0, 1.0
